ID,GEF Project ShortName,Agency,IBRD ID,Country,Type,Project Type,Project Name,Project Scale,Ecosystem,Region,Subregion,Basin,Status,FOCAL AREA,Approval Date,Start,End,FY,Staff,GEFAmount,Cofin Amt,Fee Total,Project Cost,CEO Endorsement Date,Phase,Project Type #1,Project Type #2,Project Type #3,Prog App,Multi FA,SAP,Keywords,Url,Strategic Program,Operational Program,Executing Agency,Information Sources,Key Lessons Learned from Project,Key Project Results,Catalytic Impacts,Establishment of country-specific inter-ministerial committees,Qualification: Establishment of country-specific inter-ministerial committees,Regional legal agreements and cooperation frameworks,Qualification: Regional legal agreements and cooperation frameworks,Regional Management Institutions,Qualification: Regional Management Institutions,National/Local reforms,Qualification: National/Local reforms,Transboundary Diagnostic Analysis: Agreement on transboundary priorities and root causes,Qualification: Transboundary Diagnostic Analysis: Agreement on transboundary priorities and root causes,Development of Strategic Action Plan (SAP),Qualification: Development of Strategic Action Plan (SAP),Management measures in ABNJ incorporated in  Global/Regional Management Organizations (RMI),Qualification: Management measures in ABNJ incorporated in  Global/Regional Management Organizations (RMI),Revised Transboundary Diagnostic Analysis (TDA)/Strategic Action Program (SAP) including Climatic Variability and Change considerations,Qualification: Revised Transboundary Diagnostic Analysis (TDA)/Strategic Action Program (SAP) including Climatic Variability and Change considerations,"TDA based on multi-national, interdisciplinary technical and scientific (MNITS) activities","Qualification: TDA based on multi-national, interdisciplinary technical and scientific (MNITS) activities",Proportion of Countries that have adopted SAP,Qualification: Proportion of Countries that have adopted SAP,"Proportion of countries that are implementing specific measures from the SAP (i.e. adopted national policies, laws, budgeted plans)","Qualification: Proportion of countries that are implementing specific measures from the SAP (i.e. adopted national policies, laws, budgeted plans)","Incorporation of (SAP, etc.) priorities with clear commitments and time frames into CAS, PRSPs, UN Frameworks, UNDAF, key agency strategic documents including financial commitments and time frames, etc","Qualification: Incorporation of (SAP, etc.) priorities with clear commitments and time frames into CAS, PRSPs, UN Frameworks, UNDAF, key agency strategic documents including financial commitments and time frames, etc",Other Key Process Results
612,Water Vision,WB,66241,,MSP,Portfolio Learning/Policy,World Water Vision - Water and Nature,Global,,[],"Eastern Africa, Middle Africa, Northern Africa, SIDS (Africa), Southern Africa, Western Africa, Caribbean, Central America, Northern America, SIDS (Americas), South America, Antarctica, Central Asia, SIDS (Asia), South-Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia, SIDS (Oceania), Small island developing States",,Project Completion,International Waters,,1999-04-25,2000-12-06,,Mr. Ariel Dinar,0.70,,,13.84,,GEF - 2,,,,,,,,,,10,World Conservation Union (IUCN),,,,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,-1,,-1,,nap,,
514,Coastal Ocean Cycles,UNEP,,,MSP,Portfolio Learning/Policy,Role of the Coastal Ocean in the Disturbed and Undisturbed Nutrient and Carbon Cycles,Global,,[],"Eastern Africa, Middle Africa, Northern Africa, SIDS (Africa), Southern Africa, Western Africa, Caribbean, Central America, Northern America, SIDS (Americas), South America, Antarctica, Central Asia, SIDS (Asia), South-Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia, SIDS (Oceania), Small island developing States",,Project Completion,International Waters,,1998-11-01,2002-12-30,,Ms. Isabelle Van der Beck; Mr. Ahmed Djoghlaf; Dr. Hartwig Kremer,0.72,,,1.17,,GEF - 2,,,,,,,,http://www.loicz.org/,,10,LOICZ International Project Office; ICSU; International Geosphere Biosphere Programme (IGBP); Royal Netherlands Institute for Sea Research (NIOZ),"IWC6 Results Note (2011), UNEP Terminal Evaluation (2008)","<p>The establishment of a Regional Mentoring structure was considered to be very successful greatly assisting the network development, training and regional growth/awareness of the LOICZ tools and outputs. This also benefited regional regular training modules as a component of academic training and capacity building reaching a growing number of young scientists especially from developing regions.<br />For training workshops the project ensured that the same experts continued to participate from within the network, building on previous experiences. This network approach rather than a “single regional visit of experts” led to a committed, enthusiastic and continually involved cadre of regional scientists. These links have had other successes in developing on-going research and collaborative research actions.<br />The project team recognised the benefit of the final extension that led to the final report providing a ‘management perspective’ on the work. This was seen as important to achieve a management and policy relevant digest of the project bridging into the human dimensions and decision support.</p>","<p>1. The project developed 170 budget models for nutrients and carbon sites in coastal areas around the world, representing the aggregated effect of all the living components of the coastal ecosystem on nutrient fluxes and transformations as net ecosystem metabolism<br />2. Nine (9) regional and global assessments of the nutrient/carbon status and the impacts of enhanced nutrients on coastal waters were completed<br />3. A combined 3-region report and a global report were published with supplementary CDs and a global synthesis volume as part of the LOICZ Synthesis Book.</p>","<p>As a targeted research project the UNEP/GEF intervention has clear benefits to other IW programmes if the results (methods, budgets, etc.) are absorbed by new projects. It could have been reasonably expected that the ProDoc should have contained a concept of how the outputs/outcomes of this targeted research would be utilised within UNEP and the GEF IW community. The work of LOICZ is well documented but to-date there has been little focus on<br />Examples of catalytic benefits include:<br />The project began when there were only about 40 models / sites available. The GEF project added 170 models/sites to this and the work has been continuing after the completion of the project adding more data sets and using the data collected by the project. Over 400 budget models now are available at LOICZ. An example of this can be seen in the peer-reviewed scientific publication6 that clearly demonstrates the increasing desire to understand the processes of eutrophication and acknowledges the support the work received from UNEP/GEF. For example, the publication estimates that the total nutrient load of run-off to the world’s coastlines from major rivers has increased three times since the 1970s.<br />Adoption by universities, and EU projects and world-wide research programmes of the tools and methodologies into curricula for fundamental and applied training of regional scholars and scientists. Other follow-on activities have been seen in New Zealand7, Australia and the EU8 are making use of the developed tools (biogeochemical assessment, typology approach) in management and scientific synthesis work. Scientists in most global regions are adopting the approach in project design and development, and as research tools. Links to extended catchment information and data includes the human dimensions community to a growing extent.<br />National use of the tools developed in science and coastal management information assessments is leading to additional supportive research and monitoring projects, supported by national and regional funders. UNIDO has engaged with LOICZ in using the approach for a major project proposal for potential implementation in West Africa examining nutrient reduction planning, monitoring and remediation interventions. The EU is interacting with LOICZ on the relevance and implications of fluxes in the implementation of the Water Framework Directive and the Marine Strategy and so is UNEP GPA before and during its Intergovernmental Review II (Oct 2006).</p>",nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,-1,,-1,,nap,,"<p>INDICATOR#1 (Training of developing country scientists as regional advisors on methods and analyses, establishing a network of trained modelling advisors in developing region + Regional workshops held)<br />An essential aspect of the project involved advanced training for 10 scientists; 4 acted as regional mentors, 5 acted as national focal points; 1 acted as project analyst. All 10 were involved in network building, being resource people for training workshops and two were extended into postgraduate training (1 PhD and 1 MSc candidature).  A network of trained modeling advisors was set up in developing regions, with about 180 scientists trained and continuing in the network. Additional scientists are being trained through adoption of methodologies in University curricula (e.g., South Africa, Philippines, Mexico, Brazil, Russia, Black Sea area). Networks continue to grow through the on-going LOICZ programme.The project adopted a Driver-Pressure-State-Impact-Response (DPSIR) framework as a means to extend the analysis subsequent to the assimilation of the data from the budget sites and initial correlation with human factors through the typology.<br /><br />INDICATOR#2 (Regional budget workshops held)<br />A first tier of 8 preliminary regional workshops was held over a period of 20 months, beginning in 1999 and taking place in Central America, Southwest Atlantic, East Africa, West Africa, Northwest Pacific, East Asia, South Asia, and the Southeast Pacific. This was followed by a second tier of more synthetic workshops organized by ecosystem and climate type that cross-cut geographic regions and involved regional leaders.<br /><br />INDICATOR#1 (Publication of regional and global assessments of the nutrient/carbon status and impacts of enhanced nutrients to coastal waters) <br />Nine (9) regional reports and a global assessment have been completed, during which a nutrient load model was developed and applied to regional differentiation of disturbance to coastal systems. In addition, a combined 3-region report and a global report was published with supplementary CDs and a global synthesis volume as part of the LOICZ Synthesis Book. An assessment of relative  carbon sinks/sources of near coastal seas was completed and peer-review  publications were released. Hardcopy reports and CDs containing analyses of impacts of enhanced  nutrients on coastal carbon flux were distributed and uploaded to the LOICZ website. Peer review  literature has been published and is continuously in preparation. In addition, a policy and management  related synthesis is published and globally distributed. <br /><br />INDICATOR#2 (Additional nutrient and data models to website) About 170 budget models were developed in workshops, while more continue to be contributed. About 400 have now been developed by the ongoing work of LOICZ. There were 40 budget models in place before the  start of the project, but the focus during its implementation was on sub-tropical and tropical sites where data was previously limited, enabling more comprehensive global assessments to be made.</p>"
789,Benguela Current LME,UNDP,,Angola; Namibia; South Africa,FSP,Large Marine Ecosystem,Implementation of the Strategic Action Programme (SAP) Toward Achievement of the Integrated Management of the Benguela Current Large Marine Ecosystem (LME),Regional,LME,[],"Middle Africa, Southern Africa",Benguela Current (LME),Project Completion,International Waters,,2000-04-30,2005-09-13,,Mr. Nkosi Luyeye; Mr. Nik Sekhran; Mr. Hashali Hamukuaya;  Nangula  Mbako;  Monde Mayekiso;  Abraham IYAMBO; Ms. Ashley Naidoo,15.10,,,39.00,,GEF - 2,,,,,,,Africa; LME; Strategic Action Plan (SAP),http://www.benguelacc.org/,,8,United Nations Office for Project Services (UNOPS),,,,,nav,,nav,,IW3,<p>Benguela Current Commission</p>,nav,,IW3,<p>TDA 1999</p>,IW3,<p>1999 SAP</p>,nap,,nap,,nav,,0,,0,,nav,,
14,Persistent Toxic,UNEP,,,FSP,Toxic Substances,Regionally Based Assessment of Persistent Toxic Substances (RBA-PTS),Global,,[],"Eastern Africa, Middle Africa, Northern Africa, SIDS (Africa), Southern Africa, Western Africa, Caribbean, Central America, Northern America, SIDS (Americas), South America, Antarctica, Central Asia, SIDS (Asia), South-Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia, SIDS (Oceania), Small island developing States",,Project Completion,International Waters,,1999-11-30,2003-12-30,,Mr. Paul Whylie; Mr. Walter Jarman,3.00,,,4.99,,GEF - 2,,,,,,,,http://www.chem.unep.ch/pts,,10; 14,"UNEP; Division of Technology, Industry and Economics (Chemicals) (UNEP/DTIE); South Pacific Regional Environment Programme (SPREP); Secretariat of the Arctic Monitoring and Asessment Programme (AMAP); North American Commission for Environmental Cooperation (CEC)",UNEP Terminal Evaluation (2004),"<p>The project was designed, among other things “to agree on the priorities between chemical-related environmental issues”. This of course is necessary in order to focus subsequent interventions on solving or controlling these issues. However, at the same time, prioritising means ranking problems, which in turn, explicit or implicit, means answering a number of value-laden questions. Examples of such questions are: Are substances causing cancer in humans worse than those giving rise to reproductive failures in birds? Is a large quantity of a chemical no longer produced a larger problem than a smaller amount of one with rising production and use? Is an easily replaceable but less damaging chemical a higher priority than one more damaging, where no realistic alternatives exist? Is a well-investigated compound with by and large known risks, worse than one on which we have little information?<br />In all these cases, the answers would also have to be quantified: e.g. How many cases of human cancer correspond to ten thousand non-hatched bird eggs or an extinct bird species?<br />These sorts of questions obviously do not have scientific answers. Therefore, it is understandable that many of the Regional Coordinators and Regional Team Members at the onset of the project were reluctant to prioritise. Yet, when it came to the regional and global priority setting meetings, agreement or near agreement was reached on all the regional and global priorities. How was this resolved?<br />The key to the solution was a relatively simple scoring system, where the figures 2, 1 and 0 on one axis were used to mean Regional, Local, and No concern, respectively. The other axis had the groups Sources, Environmental levels, Eco-toxicological effects and Human effects. Scoring was done on available information, but each of the four groups also had a column for data gaps, where “0” meant supportive data existed, “1” that supportive data is limited, and “2” that supportive data are lacking.<br />A key feature was that there was no total score for a chemical. This is a clever and practical way to get around the unsolvable problem of comparing non-commensurable units, and one that has gained acceptance from a wide range of experts as a way to arrive at a science-based tool for administrative decision-making. It is a lesson learned with applications in a variety of fields and situations.<br /><br /><br />Another conceptual problem encountered in the project is the identification of global priorities based on regions, which differ significantly with regard to data availability, expertise, legislative framework and administrative and financial resources. As important from an ecological and toxicological point of view, is that temperature, humidity and food web structure, as well as species diversity and seasonal migration patterns (among many other parameters), may have a strong effect on sensitivity of populations and ecosystems. Similarly, human populations may have different sensitivities dependent on food habits, nutritional levels, age structure and numerous socio-economic factors.<br />Here the project was less innovative, and merely excluded from consideration all possible differences in sensitivity of ecosystems and human populations. Further, the global priorities came as a result of a summary that was balanced but somewhat mechanical of the priorities identified at the regional level.<br /><br /><br />A very special, possibly unique problem facing this project with regard to dissemination of results and follow up, is that the international focus on persistent substances has moved from PTS to POP, following the signing of the Stockholm Convention. There are two conceptual differences between the RBA/PTS project and the Convention. The project is region-based, whereas the Convention is basically global, with a potential for regional additions. Furthermore, the group of PTS is larger and in principle open-ended, while the Convention covers a small number - currently twelve - of specified chemicals or groups. The current situation, strengthened by the financial mechanism associated with the Stockholm Convention that provides funding through the Global Environment Facility (GEF) for, e.g., development of national implementation plans for POP, is that few of the developing country experts that were enthusiastically involved in the RBA/PTS project, work in their home countries today with any other part of PTS than the POP.<br />Seen from the project’s perspective, there is thus a significant risk that only those parts of the RBA/PTS that are covered by the Stockholm Convention can feed into any continuing activity. Its sustainability is thus an open question. The risks with the relative limited volume of information and the reach of the dissemination mechanisms for project results must be seen in this light.<br /><br /><br />On the practical level, a key question for the project to resolve was how to collect and evaluate a huge amount of data. The attempted solution was the development of web-based questionnaires and a GIS-based system for storage and handling of data. These two strategic decisions, using the web and geographic information, are future-oriented and commendable. It’s “lessons learned” from the project that should be remembered for numerous future applications.<br />However, for practical use within the project, neither the questionnaires nor the database and data handling system came to much use. In total, some 15,000 entries were made to the database using the questionnaires, which is not a small number and, as discussed elsewhere, represents a special value as much of it is data that is not available in the open literature, but was dug out from other sources and to a large extent came from regions where data are scarce. The future value of these data would be in relation to trend analyses, which could be crucial both for scientific purposes and to assess if chemicals that have been banned or for which the use has been restricted are still released. Thus the future users would be scientists and national environment protection agencies.<br />However, in relation to the total amount of data available for PTS, 15,000 entries is a drop in the sea. Most Regional Coordinators and Teams found the questionnaires unsuitable, either because they were too time-consuming to fill out with all the information requested, or because the information given was insufficient to assess the quality of the information. Some even used both arguments simultaneously.<br />It is clear that there has to be a compromise between the amount of information that has to be filled out, given the time it takes; and the amount and type of information needed for assessing the validity and relevance of the data. (See discussion by the interim reviewer on sediment sieving information!)<br />Unfortunately, the questionnaires developed for the project did not succeed in finding that balance.<br /><br /><br />With regard to the data-handling system, this was not used beyond testing for the evaluations and priority-settings within the project. In fact, the system is not yet bug-free. The work done is not bad, but unless a continued application is found, it will be wasted. It should probably have been foreseen that development of a data collection system, questionnaires, an evaluation mechanism for a large volume of data, a database and a data-handling system, were unattainable within the relatively short duration of the project and with the meagre staff resources available. The lesson to be learned is simply that development of data handling systems are time and resource consuming and should generally not be done ac hoc for short term uses.<br />In some regions of the world the main problem was not the lack of data, overall, but the vast amount of them in relation to time and personnel resources available for their collection and evaluation. This was especially true for Europe and North America. In the latter region, the strategy chosen to solve this problem was to select a “representative sub-region” – in this case the Great Lakes - and to concentrate the efforts on data from there. Judging both from many critical comments and from a careful reading of the resulting report, the conclusion is that the strategy failed to give the originally intended coverage and wide base for assessment of regional priorities. The European region’s much more comprehensive approach to the data volume problem worked far better. This lesson learned within the project should not be forgotten.<br /><br /><br />As individuals and teams with different backgrounds carried out much of the work at the regional level, it is obvious that their different traditions and expectations would lead to appearance of centrifugal tendencies, causing regions to start marching in different directions. This illustrates the classic management dilemma of how to keep experts enthusiastic, but at the same time converge their efforts towards a common coherent product. At several points during the execution of the project, such situations arose. Those occasions were handled commendably: the project’s management, with clever flexibility and some well-balanced compromises, together with a firm hand when needed, brought disparate regional efforts back in line while maintaining the good spirits of the experts involved. This is an important lesson learned in the project but one that might be difficult to generalize.<br /><br /><br />Given the complexity of the project and the administrative set-up, involving in total some 800 persons and more than 60 meetings, as well as ambitious and time-pressed programming work, it would have been extraordinary if there had been no administrative problems at all. During the project execution there were some, involving especially the Sub-Sahara and Central America-Caribbean regions. The problems were, in all except a few cases, ultimately sorted out, and the lessons appear mostly to be case-specific rather than general.</p>",,"<p>The global and regional reports and the network of experts form a good basis for replication of the project. From a content point of view there is, however, little reason to do so within the next 3-5 years, and the network will wither away if unused for such a relatively long period. As discussed elsewhere, an attractive possibility should funding become available, would be to use the network for a sustained effort to fill identified gaps in knowledge and to generate new data in regions where scarce data is a problem. In that context, the possible future use of the database and data-handling system could also be looked into.</p>",nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,nap,,-1,,-1,,nap,,
6952,,UNIDO,,Mexico,FSP,Large Marine Ecosystem,Implementation of the Strategic Action Program of the Gulf of Mexico Large Marine Ecosystem,National,LME,[],Central America,Gulf of Mexico (LME),PPG Approved,International Waters,,2014-09-18,2019-09-30,,Mr. Ludovic Bernaudat,13.20,,,137.20,,GEF - 5,,,,,,,,,,,Mexico; Comision Nacional Del Agua; United States; National Oceanic and Atmospheric Administration (NOAA); SEMARNAT - The Secretariat of Environment and Natural Resources ; National Aquaculture and Fishing Commission of Mexico(CONAPESCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6962,,UNDP,,Azerbaijan; Georgia,FSP,Portfolio Learning/Policy,Advancing IWRM Across the Kura River Basin through Implementation of the Transboundary Agreed Actions and National Plans,Regional,River,[],Western Asia,Kura-Araks,PPG Approved,International Waters,,2014-09-18,2018-09-30,,Dr. Vladimir Mamaev,5.47,,,192.54,,GEF - 5,,,,,,,,,,,United Nations Office for Project Services (UNOPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6964,,WB,,Benin; Burkina Faso; Cote d'Ivoire; Ghana; Mali; Togo,FSP,River/Lake,Volta River Basin Strategic Action Programme Implementation Project,Regional,River,[],Western Africa,Volta,PPG Approved,International Waters,,2014-09-18,2019-09-30,,,7.40,,,42.80,,GEF - 5,,,,,,,,,,,Volta Basin Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,Tanzania Coastal,WB,84213,Tanzania United Republic of,FSP,Land-Based Sources/Coastal Zone,Marine and Coastal Environment Management Project (MACEMP),National,,[],Eastern Africa,Somali Coastal Current (LME),Under Implementation,Multiple Focal Areas,,2005-06-19,2011-08-29,,Mr. Indumathie V.  Hewawasam;  Nicodemus Odhiambo  Marcus,10.33,,,58.46,,GEF - 3,,,,,,,Africa,,,2; 8,Tanzania; Ministry of Energy and Minerals,,,,,nav,,nap,,nap,,nav,,nap,,nap,,nap,,nap,,nap,,-1,,-1,,nav,,
2020,Nubian Aquifer,UNDP,,Chad; Egypt; Libyan Arab Jamahiriya; Sudan,MSP,Groundwater,Formulation of an Action Programme for the Integrated Management of the Shared Nubian Aquifer,Regional,Groundwater,[],"Middle Africa, Northern Africa",Nubian Sandstone Aquifer System (NSAS),Project Completion,International Waters,,2005-06-20,2011-02-27,,Mr. Eric Jonathan Cole; Mr. Ismail Musa Mohamed; Mr. Andrew Garner; Dr. Andrew Hudson; Mr. Osman  Mustafa Ahmed Mohamed;  Lofti Ali madi; Dr. Vladimir Mamaev;  Pradeep  Aggarwal; Mr. Paul Gremillion; Prof Ahmed R Khater; Mr. Ahmed Ragab Allam,1.00,,,7.95,,GEF - 3,,,,,,,Aquifer; Africa; Groundwater,http://www-naweb.iaea.org/napc/ih/IHS_projects_nubian.html,,9; 1,International Atomic Energy Agency (IAEA),GEF3 IW Tracking Tool (2010),,,,III0,,III2,,III2,,,,III3,,IW3,<p>Ministerial endorsement of SAP Sept 2013</p>,nap,,nav,,nav,,0,,0,,nav,,
462,Tumen River,UNDP,,China; Korea Republic of; Mongolia; Russian Federation,FSP,River/Lake,"Preparation of A Strategic Action Programme (SAP) and Transboundary Diagnostic Analysis (TDA) for the Tumen River Area, Its Coastal Regions and Related Northeast Asian Environs",Regional,River,[],"Central Asia, Eastern Europe",Tumen,Project Completion,International Waters,,1999-06-13,2001-06-30,,Dr. Andrew Hudson,5.19,,,10.66,,GEF - 1,,,,,,,Strategic Action Plan (SAP); River,http://archive.iwlearn.net/www.undp.org/gef/portfolio/writeups.html,,9; 2,United Nations Office for Project Services (UNOPS),UNDP Terminal Evaluation (2002),"<p> Implementing the project through a network of local expert institutions significantly enhanced national ownership of the project and helped to establish a genuine regional network of scientists, politicians, government agencies and NGOs. A business network was envisaged as well. <br /> Inherent in that approach is the need for a strong network coordinator responsible for quality control, value adding and training and resource mobilization.  After project completion a similar function needs to be maintained.<br /> Early involvement of provincial governments in SAP formulation and design enhances local ownership and ensures recommendations are politically acceptable and financially feasible.<br /> Introduction of the private sector and private investment banks would reduce reliance on donors. This requires efforts to enhance good governance such as transparent and fair regulatory and legal systems and an efficient administration.<br /> Use of consultants from within the region for training and support builds national capabilities and enhances regional thinking. Knowledge stays in the region and does not depart with the consultants.</p>","<p>1. A Transboundary Diagnostic Analysis highlighting all major issues was prepared and accepted by all project participants and a Strategic Action Programme was completed.<br /><br />2. The first international environmental agreements were made between the project countries.<br /><br />3. Local and regional awareness of environmental and biodiversity issues was raised significantly in the general public, government, and private sectors.</p>",,nav,,nav,,nav,,nav,,IW2,"<p>INDICATOR #1:  Preparation of a Transboundary Diagnostic Analysis. [Target: A TDA accepted by all project participants.]<br /><br />Four zonal TDAs were prepared (Tumen River, Daurian Steppe, Mongolian Steppe, and Supra-Regional), as well as a final overall TDA. The final TDA workshop was held in Vladivostok on 3 April 2002. The workshop approved the TDA and agreed that it would be the basis for developing the SAP.</p>",IW2,"<p>INDICATOR #2:  Strengthen national capacities to prepare a regional Strategic Action Programme (SAP) for the protection of international waters and biodiversity.  [Target: SAP signed by participating countries.]<br /><br />The Strategic Action Programme was the ultimate outcome of the project, though it was not formally endorsed by the countries.  Using the completed TDA as its scientific foundation, the SAP was prepared by countries in early 2002, translated into local languages and scrutinized by local stakeholders in each of the project areas. National SAP task forces were established in each country to lead the national SAP process and several bilateral Memorandas of Understanding were signed between participating countries as well as between provincial governors during its preparation.  These were the first international environmental agreements between the participating countries and are annexed in the final SAP dated October 2002.<br /><br />National SAP Task Forces included political decision makers at many national and provincial levels: environment, foreign affairs, finance, and economic development portfolios, technical experts from the TDA phase, and NGO and business representatives. They also included the National TRADP Coordinators to ensure mainstreaming of SAP recommendations with parallel TRADP driven efforts.<br /><br />INDICATOR #4:  Strengthen national and regional capacities to jointly implement a Strategic Action Programme once endorsed.   [Target: National teams (particularly the line ministries) implement activities included in the SAP after project completion.]<br /><br />A political support platform for implementation of the SAP subsequent to endorsement was established.  Regional awareness was being created and regional policy networks were established and functioning.  Provincial as well as national government became heavily involved.  Work was proceeding towards formulating a regional convention/treaty.  The TumenNET Governors Memorandum of Understanding committed seven provincial governors to protect transboundary biodiversity and international water resources.  A similar agreement was also reached with the private sector in the Republic of Korea. The project expanded into Siberia (at the northern border of Eastern Mongolia) and into the Inner Mongolia Autonomous Region (at the southern border of Eastern Mongolia), addressing more transboundary issues.  The DPRK participated in selected project activities, including the one at the Musan iron ore mine - a major environmental hotspot along the Tumen River. Countries agreed to work towards a regional convention/treaty that will be based on the 1995 TRADP Memorandum of Understanding. <br /><br />After completion of the project, TRADP was absorbed in 2005 into the Greater Tumen Initiative (GTI), an intergovernmental cooperation mechanism engaged in policy dialogue and implementing collaborative projects that focus on transport; trade; investment; tourism; and energy, with environment as a cross-cutting sector.</p>",nap,,nap,,nav,,0,,0,,nav,,<p>environmental protection issues.  [Target:  A 50% increase over two years in the number of articles on transboundary environmental issues in the 10 largest local newspapers in the Tumen River Region.]<br /><br />Stakeholder workshops and press conferences were held in all countries.  Mass media campaigns were implemented. Community awareness activities were funded under a small grants program. Environmental education campaigns were developed for schools.  The number of environmental articles in the Tumen River region increased by 114% (200% in China and 80% in Russia).</p>
